num,item,fecha_venta,cantidad
2,martillo,15/05/2026,5
3,pinza,15/05/2026,3
4,alambre,15/05/2026,5
5,clavos,15/05/2026,10
6,tornillos,15/05/2026,8
7,martillo,16/05/2026,6
8,pinza,16/05/2026,4
9,alambre,16/05/2026,7
10,clavos,16/05/2026,9
11,tornillos,16/05/2026,5
12,martillo,17/05/2026,4
13,pinza,17/05/2026,6
14,alambre,17/05/2026,8
15,clavos,17/05/2026,11
16,tornillos,17/05/2026,7
17,martillo,18/05/2026,7
18,pinza,18/05/2026,5
19,alambre,18/05/2026,6
20,clavos,18/05/2026,13
21,tornillos,18/05/2026,9
22,martillo,19/05/2026,8
23,pinza,19/05/2026,4
24,alambre,19/05/2026,9
25,clavos,19/05/2026,12
26,tornillos,19/05/2026,6
